Ensemble_id,Gene_name,GC_content
ENSG00000304745,,39.76
ENSG00000276197,,75.56
ENSG00000297972,,37.45
ENSG00000300519,,33.85
ENSG00000304422,,54.83
ENSG00000278294,5_8S_rRNA,51.32
ENSG00000274917,RNA5-8SN5,57.52
ENSG00000294644,,43.30
ENSG00000278066,,43.73
ENSG00000307034,,60.42
ENSG00000296902,,32.40
ENSG00000273730,5_8S_rRNA,57.52
ENSG00000274847,MAFIP,45.64
ENSG00000277196,,58.96
ENSG00000273937,,75.56
ENSG00000308580,,45.57
ENSG00000295378,,38.68
ENSG00000296546,,45.78
ENSG00000297619,,35.98
ENSG00000298772,,46.19
ENSG00000300051,,40.97
ENSG00000296713,,49.82
ENSG00000305511,,62.23
ENSG00000306721,,43.57
ENSG00000277428,Y_RNA,38.61
ENSG00000276256,,37.57
ENSG00000278793,U6,43.93
ENSG00000305525,,50.06
ENSG00000298861,,41.01
ENSG00000295668,,37.41
ENSG00000303750,,40.41
ENSG00000303853,,40.83
ENSG00000278817,,57.94
ENSG00000276017,,60.52
ENSG00000297072,,47.33
ENSG00000297558,,47.31
ENSG00000298095,,43.37
ENSG00000308643,,57.14
ENSG00000301131,,43.24
ENSG00000303733,,56.36
ENSG00000305236,,56.48
ENSG00000309233,,50.21
ENSG00000300074,,36.21
ENSG00000298793,,56.36
ENSG00000300093,,38.97
ENSG00000303588,,48.99
ENSG00000300846,,40.34
ENSG00000307470,,40.35
ENSG00000308966,,57.24
ENSG00000306938,,34.92
ENSG00000301573,,40.55
ENSG00000309079,,53.97
ENSG00000307061,,44.28
ENSG00000295063,,40.30
ENSG00000301587,,39.55
ENSG00000309229,,41.90
ENSG00000310277,,40.71
ENSG00000303173,,38.81
ENSG00000303875,,47.16
ENSG00000303892,,47.15
ENSG00000307077,,39.35
ENSG00000303912,,38.52
ENSG00000275661,,63.79
ENSG00000310347,,41.81
ENSG00000276351,,60.87
ENSG00000308185,,38.98
ENSG00000276345,,60.59
ENSG00000306744,,43.36
ENSG00000277374,U1,45.45
ENSG00000306767,,35.71
ENSG00000273532,,77.46
ENSG00000303573,,40.07
ENSG00000294171,,62.23
ENSG00000308844,,39.62
ENSG00000309296,,34.66
ENSG00000293753,,39.26
ENSG00000299010,,35.40
ENSG00000309338,,51.56
ENSG00000276932,Y_RNA,38.61
ENSG00000302801,,32.82
ENSG00000309357,,47.55
ENSG00000302039,,36.91
ENSG00000306402,,39.59
ENSG00000307088,,41.84
ENSG00000294191,,63.93
ENSG00000304792,,38.79
ENSG00000304816,,39.65
ENSG00000309831,,38.16
ENSG00000274202,U2,31.86
ENSG00000299852,,64.05
ENSG00000303221,,38.94
ENSG00000304845,,34.20
ENSG00000299870,,65.29
ENSG00000300815,,46.69
ENSG00000304057,,61.61
ENSG00000275987,U1,52.78
ENSG00000268674,,58.43
ENSG00000277475,,60.17
ENSG00000275405,U1,54.27
ENSG00000298139,,46.91
ENSG00000299885,,64.06
ENSG00000293919,,40.85
ENSG00000298153,,46.00
ENSG00000275063,,57.27
ENSG00000298169,,60.91
ENSG00000277856,,53.06
ENSG00000307722,,46.19
ENSG00000298751,,42.97
ENSG00000310401,,36.32
ENSG00000298769,,51.40
ENSG00000301091,,40.62
ENSG00000298181,,57.89
ENSG00000303154,,50.54
ENSG00000276711,U2,31.86
ENSG00000302961,,39.90
ENSG00000309258,,43.89
ENSG00000293939,,43.29
ENSG00000293969,,38.61
ENSG00000297844,,44.73
ENSG00000278384,,50.21
ENSG00000301761,,44.47
ENSG00000296732,,41.58
ENSG00000273748,,38.41
ENSG00000296581,,41.13
ENSG00000296598,,37.63
ENSG00000296618,,35.59
ENSG00000307122,,42.17
ENSG00000307143,,38.87
ENSG00000307166,,45.47
ENSG00000296634,,44.85
ENSG00000296756,,35.98
ENSG00000309793,,36.29
ENSG00000274175,,49.00
ENSG00000273554,,62.83
ENSG00000275869,,49.00
ENSG00000278510,,53.26
ENSG00000273843,,40.36
ENSG00000301787,,46.43
ENSG00000277836,,54.51
ENSG00000294926,,36.52
ENSG00000295260,,57.69
ENSG00000296775,,39.89
ENSG00000295285,,58.58
ENSG00000295455,,43.21
ENSG00000295648,,63.13
ENSG00000296644,,43.45
ENSG00000296798,,43.85
ENSG00000297394,,37.62
ENSG00000297936,,47.41
ENSG00000300662,,46.01
ENSG00000301410,,40.61
ENSG00000303548,,49.30
ENSG00000303746,,46.28
ENSG00000288175,SYT15B,56.12
ENSG00000304032,,43.94
ENSG00000304964,,43.23
ENSG00000288244,,45.60
ENSG00000276312,,75.56
ENSG00000276700,RNA5-8SN4,57.52
ENSG00000275757,5_8S_rRNA,57.52
ENSG00000305027,,53.18
ENSG00000273739,,75.56
ENSG00000298142,,45.71
ENSG00000305713,,43.07
ENSG00000301406,,38.29
ENSG00000288372,,53.99
ENSG00000307206,,44.33
ENSG00000306124,,49.10
ENSG00000288288,,56.92
ENSG00000288157,NPY4R2,52.24
ENSG00000307249,,39.01
ENSG00000310376,,62.04
ENSG00000288129,,53.21
ENSG00000308567,,43.98
ENSG00000288472,LINC03015,48.82
ENSG00000310392,,50.00
ENSG00000288304,,50.43
ENSG00000288481,FAM25C,50.18
ENSG00000288424,AGAP12P,40.37
ENSG00000309335,,43.41
ENSG00000310156,,44.87
ENSG00000288417,LINC03014,51.41
ENSG00000290627,AGAP12P,40.53
ENSG00000288201,RNA5SP315,47.41
ENSG00000288196,BMS1P7,40.35
ENSG00000288502,,57.01
ENSG00000288457,,62.27
ENSG00000288311,,56.58
ENSG00000288449,,61.72
ENSG00000288499,FAM20C,59.41
ENSG00000288159,,56.19
ENSG00000288431,,65.45
ENSG00000306474,,39.28
ENSG00000306526,,38.73
ENSG00000282162,LINC01784,47.68
ENSG00000281934,PRAMEF11,48.02
ENSG00000288260,,49.46
ENSG00000288430,RNU5B-4P,33.33
ENSG00000288297,ECSCR,51.16
ENSG00000282116,PRAMEF30P,50.32
ENSG00000282175,HNRNPCL1,46.13
ENSG00000282817,PRAMEF2,47.20
ENSG00000288274,SMIM33,55.27
ENSG00000282584,PRAMEF4,48.20
ENSG00000288243,STING1,53.56
ENSG00000282663,PRAMEF10,47.85
ENSG00000279195,PRAMEF7,50.06
ENSG00000282338,RNU6-1072P,45.79
ENSG00000282549,PRAMEF29P,49.04
ENSG00000282119,PRAMEF6,47.55
ENSG00000282791,PRAMEF28P,50.11
ENSG00000282437,PRAMEF27,48.08
ENSG00000291381,ARHGEF19,57.34
ENSG00000282559,HNRNPCL3,47.02
ENSG00000291405,,55.96
ENSG00000282566,PRAMEF25,47.51
ENSG00000291404,ANO7L1,53.74
ENSG00000291376,,56.35
ENSG00000291382,CPLANE2,54.10
ENSG00000291377,MT1XP1,60.75
ENSG00000291375,FBXO42,43.85
ENSG00000282258,PRAMEF34P,50.59
ENSG00000291379,SZRD1,48.10
ENSG00000282562,PRAMEF35P,51.90
ENSG00000288388,,48.24
ENSG00000288138,NCOA4P4,45.57
ENSG00000282530,HNRNPCL2,46.09
ENSG00000282468,PRAMEF36P,50.61
ENSG00000291374,RPL22P3,41.47
ENSG00000290624,,48.42
ENSG00000291401,SPATA21,50.40
ENSG00000282341,,47.29
ENSG00000281987,PRAMEF26,48.32
ENSG00000282095,HNRNPCL4,48.64
ENSG00000291380,NECAP2,49.37
ENSG00000282298,PRAMEF9,48.13
ENSG00000282741,PRAMEF13,46.73
ENSG00000282212,PRAMEF18,49.74
ENSG00000282289,PRAMEF31P,50.61
ENSG00000291388,LINC01772,46.15
ENSG00000282424,PRAMEF5,47.59
ENSG00000291402,CROCCP3,54.22
ENSG00000291389,RNU1-1,53.66
ENSG00000291390,,46.81
ENSG00000291391,,56.01
ENSG00000291392,LINC01783,59.01
ENSG00000291393,RNU1-6P,52.08
ENSG00000291394,PDE4DIPP8,44.16
ENSG00000291386,,40.64
ENSG00000282216,PRAMEF32P,49.07
ENSG00000282288,RNU6-771P,45.79
ENSG00000291385,RNU1-2,54.88
ENSG00000282583,PRAMEF8,49.88
ENSG00000291408,,45.65
ENSG00000291384,,64.37
ENSG00000291400,LINC03126,48.14
ENSG00000282125,PRAMEF33,47.90
ENSG00000293551,PRAMEF22,51.96
ENSG00000291383,RNU1-5P,54.17
ENSG00000291395,,58.89
ENSG00000291397,,40.61
ENSG00000291398,EIF1AXP1,38.39
ENSG00000291396,RNU1-3,54.27
ENSG00000291399,RNU1-4,54.27
ENSG00000291387,PADI2,51.75
ENSG00000292230,,48.32
ENSG00000291403,CROCCP4,48.34
ENSG00000292231,,57.22
ENSG00000291407,,50.78
ENSG00000292235,,40.27
ENSG00000292236,,38.39
ENSG00000292238,,60.76
ENSG00000292239,,60.83
ENSG00000292240,,60.50
ENSG00000292241,,60.77
ENSG00000292242,,60.70
ENSG00000292229,,55.53
ENSG00000292226,,44.09
ENSG00000292228,,44.05
ENSG00000281819,NAA50P1,42.12
ENSG00000292227,,44.06
ENSG00000263150,OR8J2,45.36
ENSG00000262851,OR5T2,39.26
ENSG00000261897,OR5T3,38.81
ENSG00000262784,OR5T1,38.84
ENSG00000292225,NBPF1,44.04
ENSG00000262611,OR8H1,40.37
ENSG00000280712,OR8I1P,41.57
ENSG00000262755,OR8K3,39.08
ENSG00000281773,FAM8A2P,55.69
ENSG00000280617,OR8K2P,36.68
ENSG00000263328,OR8K1,39.90
ENSG00000281820,RPL5P29,43.40
ENSG00000262796,OR8J1,40.41
ENSG00000262315,OR8U8,42.81
ENSG00000281038,OR8U9,44.19
ENSG00000280577,OR8L1P,36.96
ENSG00000291410,,57.31
ENSG00000291411,,63.35
ENSG00000291412,,61.39
ENSG00000291413,,62.43
ENSG00000291414,MIR4740,68.25
ENSG00000291415,MIR3186,56.47
ENSG00000291416,,69.41
ENSG00000291417,LINC01971,64.03
ENSG00000291418,,60.82
ENSG00000291420,ACTG1,60.66
ENSG00000291421,BAHCC1,63.07
ENSG00000291422,,63.00
ENSG00000291423,,57.81
ENSG00000291424,,63.68
ENSG00000291425,LINC03048,58.69
ENSG00000288319,,34.43
ENSG00000288521,U6,39.62
ENSG00000288394,ABCD1P4,61.11
ENSG00000288228,,38.64
ENSG00000288342,PABPC1P9,42.51
ENSG00000288315,SLC9B1P4,37.31
ENSG00000288272,ACTR3BP6,40.21
ENSG00000281449,BCL2L14,40.68
ENSG00000281442,PTMAP9,53.52
ENSG00000283344,MIR1244-4,31.76
ENSG00000281324,LRP6,38.54
ENSG00000290500,,36.31
ENSG00000261958,OR9G1,48.15
ENSG00000262191,OR9G9,47.93
ENSG00000281683,,52.38
ENSG00000262268,OR9G3P,47.71
ENSG00000262647,OR9G4,45.18
ENSG00000281777,OR9G2P,45.45
ENSG00000281313,OR5G1P,45.03
ENSG00000281279,OR5G4P,43.16
ENSG00000262535,OR5G5P,43.13
ENSG00000281107,OR5G3,41.56
ENSG00000281839,LINC02735,37.53
ENSG00000280475,RPL21P100,42.86
ENSG00000206783,RNU6-545P,43.27
ENSG00000281874,,42.56
ENSG00000207477,RNU6-318P,39.81
ENSG00000281818,MANSC1,43.98
ENSG00000281051,RPL23AP66,53.24
ENSG00000281234,LOH12CR2,45.19
ENSG00000280689,BORCS5,42.17
ENSG00000281168,,40.11
ENSG00000280962,DUSP16,40.41
ENSG00000281671,,39.96
ENSG00000281525,,48.96
ENSG00000288406,,38.89
ENSG00000291426,TOLLIP,57.49
ENSG00000288135,,37.29
ENSG00000288322,,37.24
ENSG00000288356,,36.30
ENSG00000288117,Y_RNA,42.34
ENSG00000291427,TOLLIP-DT,60.38
ENSG00000291429,,55.22
ENSG00000291430,LINC02689,54.88
ENSG00000291428,BRSK2,63.85
ENSG00000291441,,57.92
ENSG00000291431,DUSP8,64.56
ENSG00000291432,KRTAP5-AS1,51.87
ENSG00000291433,KRTAP5-1,64.76
ENSG00000291434,KRTAP5-2,59.30
ENSG00000291435,KRTAP5-3,63.29
ENSG00000291440,KRTAP5-4,58.59
ENSG00000291443,KRTAP5-5,62.11
ENSG00000291436,,48.68
ENSG00000291437,FAM99A,62.92
ENSG00000291438,FAM99B,66.07
ENSG00000291439,LINC02708,48.95
ENSG00000291442,MOB2,55.21
ENSG00000292327,PPP2R3B,58.28
ENSG00000292328,RPL14P5,51.72
ENSG00000292329,,59.60
ENSG00000292332,IL3RA,54.54
ENSG00000292333,P2RY8,48.23
ENSG00000292334,SLC25A6,57.28
ENSG00000292337,DHRSX-IT1,48.35
ENSG00000292338,DHRSX,47.11
ENSG00000292339,ASMTL,52.23
ENSG00000292342,LINC00685,51.97
ENSG00000292344,PLCXD1,53.82
ENSG00000292345,ZBED1,49.62
ENSG00000292346,MIR6089,84.38
ENSG00000292347,LINC00102,39.58
ENSG00000292348,CD99,47.38
ENSG00000292350,Metazoa_SRP,53.10
ENSG00000292352,FABP5P13,46.04
ENSG00000292353,KRT18P53,54.70
ENSG00000292354,SHOX,51.23
ENSG00000292355,MIR3690,53.33
ENSG00000292356,RNA5SP498,44.17
ENSG00000292361,CD99P1,40.35
ENSG00000292363,CRLF2,46.83
ENSG00000292343,AKAP17A,60.91
ENSG00000292336,ASMT,52.08
ENSG00000292330,,48.67
ENSG00000285019,ELOCP5,38.74
ENSG00000285196,CDY10P,42.44
ENSG00000292357,CSF2RA,50.90
ENSG00000285308,USP9YP3,34.64
ENSG00000288512,C1R,51.45
ENSG00000285028,USP9YP8,32.17
ENSG00000285455,CDY11P,40.10
ENSG00000285477,OFD1P16Y,32.19
ENSG00000310541,,47.99
ENSG00000310543,,48.09
ENSG00000310544,,49.15
ENSG00000310545,,57.13
ENSG00000310546,,47.26
ENSG00000292331,ASMTL-AS1,52.42
ENSG00000310547,,47.97
ENSG00000310548,,47.91
ENSG00000292349,,50.10
ENSG00000292341,LINC00106,55.51
ENSG00000310549,,49.19
ENSG00000310551,,67.24
ENSG00000310552,,46.43
ENSG00000292335,,48.32
ENSG00000310553,,62.30
ENSG00000310554,,62.01
ENSG00000310556,,38.31
ENSG00000310540,LINC02968,45.80
ENSG00000292362,CD99P1,44.34
ENSG00000288263,GRK1,60.38
ENSG00000288305,LINC00552,57.19
ENSG00000292360,LINC03112,47.06
ENSG00000310557,,47.44
ENSG00000288124,C1RL,49.05
ENSG00000292358,GTPBP6,57.12
ENSG00000292364,AMD1P2,39.72
ENSG00000292365,DPH3P2,39.60
ENSG00000292366,VAMP7,38.75
ENSG00000292367,ELOCP24,40.42
ENSG00000292368,TRPC6P1,42.27
ENSG00000292369,,53.18
ENSG00000292371,DDX11L16,58.08
ENSG00000292372,WASH6P,59.75
ENSG00000310550,,37.32
ENSG00000310555,,43.82
ENSG00000292370,WASIR1,53.37
ENSG00000288352,C1RL-AS1,51.70
ENSG00000292373,IL9R,55.06
ENSG00000310542,,58.70
ENSG00000288369,RBP5,51.28
ENSG00000215601,TSPY24P,56.86
ENSG00000215603,ZNF92P1Y,34.84
ENSG00000225878,SERBP1P2,44.42
ENSG00000236435,TSPY12P,51.44
ENSG00000258991,DUX4L19,68.75
ENSG00000224518,,34.85
ENSG00000231988,OFD1P3Y,36.19
ENSG00000238073,RBMY2HP,39.89
ENSG00000275866,,57.92
ENSG00000271595,ELOCP35,36.61
ENSG00000183704,SLC9B1P1,36.89
ENSG00000232927,USP12PY,38.25
ENSG00000277438,KDM5DP1,43.96
ENSG00000259154,DUX4L17,65.59
ENSG00000284403,RNU6-485P,39.25
ENSG00000288383,,61.04
ENSG00000169789,PRY,41.46
ENSG00000288427,CLSTN3,51.75
ENSG00000273589,,64.98
ENSG00000273863,,39.03
ENSG00000271375,,47.95
ENSG00000224634,ZNF736P6Y,34.21
ENSG00000285470,TUSC2P1,50.44
ENSG00000234620,PUDPP1,41.45
ENSG00000236690,,56.46
ENSG00000273693,CDRT15P10,60.41
ENSG00000114374,USP9Y,38.76
ENSG00000169807,PRY2,41.48
ENSG00000223422,,56.24
ENSG00000231159,OFD1P8Y,38.49
ENSG00000225653,RNF19BPY,40.26
ENSG00000251618,,58.91
ENSG00000229159,TSPY23P,58.79
ENSG00000228578,TUBB1P2,55.29
ENSG00000288281,,50.00
ENSG00000275280,,64.42
ENSG00000288116,,41.57
ENSG00000270242,ACTR3BP1,42.16
ENSG00000236477,RPS24P1,43.63
ENSG00000237997,RCC2P2,44.44
ENSG00000244246,ZNF736P8Y,33.18
ENSG00000198692,EIF1AY,35.59
ENSG00000288217,PEX5,42.58
ENSG00000291444,RBMY3AP,34.73
ENSG00000291445,CDY3P,40.30
ENSG00000291446,TSPY25P,57.37
ENSG00000291447,USP9YP22,34.69
ENSG00000291448,TSPY16P,64.10
ENSG00000291449,USP9YP4,35.05
ENSG00000291450,ELOCP4,37.54
ENSG00000291451,RBMY1A3P,35.36
ENSG00000291452,,63.86
ENSG00000291453,TTTY20,36.89
ENSG00000291455,TSPY8,53.23
ENSG00000183753,BPY2,42.58
ENSG00000291456,FAM197Y7,45.71
ENSG00000291457,,60.86
ENSG00000291458,TSPY4,53.35
ENSG00000225433,MTND1P12,41.50
ENSG00000235857,CTBP2P1,53.06
ENSG00000223955,MTND6P1,34.43
ENSG00000270455,PABPC1P5,41.56
ENSG00000291459,TSPY9,53.43
ENSG00000291460,FAM197Y2,46.86
ENSG00000291461,FAM197Y4,60.81
ENSG00000291462,FAM197Y4,45.70
ENSG00000229940,TSPY22P,59.94
ENSG00000234385,RCC2P1,51.02
ENSG00000291454,FAM197Y8,60.59
ENSG00000226863,SHROOM2P1,47.93
ENSG00000293355,FAM197Y8,40.49
ENSG00000237968,,58.34
ENSG00000271365,,68.34
ENSG00000259029,DUX4L18,66.46
ENSG00000215537,ZNF736P11Y,33.47
ENSG00000230476,OFD1P9Y,38.46
ENSG00000229745,BPY2DP,39.84
ENSG00000275828,CHEK2P1,45.40
ENSG00000225615,RBMY2UP,33.74
ENSG00000232522,ZNF886P,40.23
ENSG00000234131,ELOCP8,39.46
ENSG00000277519,OFD1P16Y,32.19
ENSG00000259247,TTTY25P,50.95
ENSG00000273731,,63.47
ENSG00000215583,ASS1P6,51.46
ENSG00000274162,SNX18P1Y,52.25
ENSG00000227444,,58.93
ENSG00000233774,MED14P1,40.10
ENSG00000228764,ZNF885P,30.82
ENSG00000232226,ARSFP1,38.39
ENSG00000224567,,50.00
ENSG00000241200,ZNF736P7Y,33.41
ENSG00000228518,SURF6P1,56.11
ENSG00000274231,,39.09
ENSG00000274502,ANKRD20A6P,64.22
ENSG00000278854,,37.63
ENSG00000225809,RBMY2KP,34.92
ENSG00000237902,TSPY21P,58.82
ENSG00000232419,TTTY19,41.38
ENSG00000226906,TTTY4,42.25
ENSG00000230025,,56.08
ENSG00000235649,MXRA5Y,41.06
ENSG00000258567,DUX4L16,67.17
ENSG00000234179,MTCYBP1,38.16
ENSG00000271309,,67.79
ENSG00000229553,USP9YP17,31.16
ENSG00000228240,TTTY17A,42.67
ENSG00000234652,AGPAT5P1,40.33
ENSG00000218410,,41.01
ENSG00000224989,FAM41AY1,36.56
ENSG00000232029,ELOCP15,39.46
ENSG00000273858,,54.05
ENSG00000227830,TRIM60P3Y,37.03
ENSG00000226529,MTND1P1,33.70
ENSG00000274837,,40.70
ENSG00000216777,PRRC2CP1,43.40
ENSG00000216824,ZNF736P10Y,35.05
ENSG00000276829,,38.45
ENSG00000228850,CDY12P,40.79
ENSG00000283076,,52.12
ENSG00000234850,MTND2P3,32.77
ENSG00000224873,CDY13P,40.79
ENSG00000229234,RBMY1KP,33.05
ENSG00000270570,,71.60
ENSG00000223517,,39.91
ENSG00000228207,,57.43
ENSG00000224917,,57.66
ENSG00000225117,ARSDP1,46.29
ENSG00000215560,TTTY5,50.75
ENSG00000228411,CDY4P,44.99
ENSG00000244395,RBMY1D,37.00
ENSG00000230814,USP9YP24,31.16
ENSG00000229725,,57.25
ENSG00000229518,UBE2V1P3,41.49
ENSG00000232730,FAM8A4P,51.20
ENSG00000244000,,35.18
ENSG00000232764,TRIM60P8Y,38.60
ENSG00000236131,MED13P1,42.11
ENSG00000227949,CYCSP46,40.69
ENSG00000252900,RNU6-303P,33.96
ENSG00000252689,,31.06
ENSG00000243980,RN7SL702P,54.45
ENSG00000252315,RNA5SP520,57.52
ENSG00000252012,RNA5SP521,57.76
ENSG00000273966,,56.67
ENSG00000252173,RNU6-109P,32.71
ENSG00000252323,RNU6-184P,32.71
ENSG00000169953,HSFY2,39.22
ENSG00000282467,,36.23
ENSG00000236429,GPM6BP2,36.11
ENSG00000249501,USP9YP2,31.95
ENSG00000228193,ELOCP14,39.58
ENSG00000248573,PRYP6,53.94
ENSG00000230904,XKRYP2,40.04
ENSG00000238135,USP9YP10,33.90
ENSG00000251970,RNU1-41P,46.30
ENSG00000238088,OFD1P7Y,36.09
ENSG00000217179,MTCYBP2,40.35
ENSG00000217896,ZNF839P1,46.32
ENSG00000185275,CD24P4,54.32
ENSG00000252766,RNU6-255P,32.38
ENSG00000274282,,39.91
ENSG00000234529,GAPDHP19,46.67
ENSG00000238191,CLUHP1,49.76
ENSG00000226353,TAF9P1,40.56
ENSG00000226449,CDY5P,40.89
ENSG00000225896,ELOCP36,38.30
ENSG00000229129,ACTG1P2,55.02
ENSG00000223555,USP9YP23,24.87
ENSG00000235521,USP9YP27,33.59
ENSG00000252513,RNU1-128P,48.75
ENSG00000224964,TRAPPC2P3,37.77
ENSG00000225740,ELOCP6,36.59
ENSG00000229138,CDY6P,43.60
ENSG00000224485,USP9YP7,30.90
ENSG00000226116,USP9YP6,33.65
ENSG00000237558,CDY7P,42.00
ENSG00000233378,USP9YP34,33.61
ENSG00000237616,USP9YP32,30.90
ENSG00000224033,CDY8P,43.60
ENSG00000230412,ELOCP12,36.59
ENSG00000225895,TRAPPC2P8,37.58
ENSG00000233120,USP9YP15,33.53
ENSG00000252166,RNU1-95P,48.75
ENSG00000232744,USP9YP16,24.84
ENSG00000229465,ACTG1P11,55.02
ENSG00000236599,ELOCP26,38.30
ENSG00000232899,CDY9P,40.89
ENSG00000229302,TAF9P2,40.61
ENSG00000228945,CLUHP2,49.78
ENSG00000278391,,56.67
ENSG00000251953,RNA5SP522,57.76
ENSG00000252667,RNA5SP523,57.52
ENSG00000249726,TUBB1P1,55.14
ENSG00000225716,ELOCP13,36.47
ENSG00000229406,OFD1P4Y,36.11
ENSG00000252209,RNU1-48P,46.30
ENSG00000249634,USP9YP5,33.84
ENSG00000238067,XKRYP1,40.04
ENSG00000233546,PRYP5,53.38
ENSG00000230377,ELOCP7,39.58
ENSG00000250951,USP9YP1,31.95
ENSG00000230458,GPM6BP1,36.11
ENSG00000235479,RAB9AP4,38.42
ENSG00000249606,TRAPPC2P7,31.59
ENSG00000267793,,35.26
ENSG00000260197,,32.33
ENSG00000012817,KDM5D,38.66
ENSG00000284255,OR4C12,41.86
ENSG00000284278,OR4C48P,45.32
ENSG00000284123,OR4C49P,45.67
ENSG00000292249,OR4C45,43.21
ENSG00000172468,HSFY1,39.22
ENSG00000176679,TGIF2LY,51.18
ENSG00000169800,RBMY1F,36.92
ENSG00000288463,,38.06
ENSG00000182415,CDY2A,44.23
ENSG00000233126,ZNF736P3Y,36.63
ENSG00000227251,TRIM60P9Y,38.03
ENSG00000252633,RN7SKP282,50.17
ENSG00000251996,Y_RNA,41.96
ENSG00000252155,RNU6-941P,47.22
ENSG00000252472,RNU6-521P,34.29
ENSG00000224953,SRIP3,50.68
ENSG00000274365,,47.40
ENSG00000233634,GOT2P5,44.69
ENSG00000237701,ATP5PFP1,47.26
ENSG00000273906,,41.47
ENSG00000232976,TRIM60P10Y,38.60
ENSG00000226270,ZNF736P2Y,36.04
ENSG00000227837,TRIM60P11Y,38.18
ENSG00000278602,,38.18
ENSG00000223978,ZNF736P1Y,35.58
ENSG00000278197,,38.60
ENSG00000230819,ZNF736P5Y,35.16
ENSG00000185894,BPY2C,42.58
ENSG00000228296,TTTY4C,42.25
ENSG00000205916,DAZ4,35.66
ENSG00000129873,CDY2B,44.31
ENSG00000251841,RNU6-1334P,37.14
ENSG00000184895,SRY,46.62
ENSG00000232195,TOMM22P2,43.88
ENSG00000286130,,39.71
ENSG00000129824,RPS4Y1,40.56
ENSG00000229163,NAP1L1P2,41.70
ENSG00000278847,,32.79
ENSG00000067646,ZFY,37.27
ENSG00000223600,EEF1A1P41,45.89
ENSG00000215414,PSMA6P1,41.97
ENSG00000224035,SFPQP1,39.61
ENSG00000223915,DPPA2P1,40.11
ENSG00000067048,DDX3Y,37.70
ENSG00000280963,SERTAD4-AS1,58.06
ENSG00000234059,CASKP1,38.48
ENSG00000281230,SERTAD4,43.14
ENSG00000183878,UTY,37.54
ENSG00000281067,ST13P19,48.38
ENSG00000281552,,47.26
ENSG00000280680,HHAT,42.29
ENSG00000287371,,45.72
ENSG00000281499,RNU5A-8P,39.47
ENSG00000287648,,39.93
ENSG00000280937,BPNT2P1,43.41
ENSG00000154620,TMSB4Y,42.71
ENSG00000129864,VCY,61.97
ENSG00000187191,DAZ3,36.06
ENSG00000188120,DAZ1,35.94
ENSG00000251925,SNORA70,45.65
ENSG00000286744,,47.06
ENSG00000236647,,58.28
ENSG00000099721,AMELY,41.49
ENSG00000092377,TBL1Y,43.32
ENSG00000285435,H3-4,63.41
ENSG00000284795,RPL23AP15,47.71
ENSG00000284841,H2AC25,57.65
ENSG00000285449,H2BC26,52.96
ENSG00000284998,MIR4666A,35.44
ENSG00000285234,H2BC27P,61.07
ENSG00000285050,,58.41
ENSG00000285426,RNF187,55.49
ENSG00000205944,DAZ2,35.43
ENSG00000285166,RNA5S1,60.50
ENSG00000285285,RNA5S2,60.50
ENSG00000285168,RNA5S3,60.50
ENSG00000284853,RNA5S16,60.50
ENSG00000285158,RNA5S17,59.66
ENSG00000284877,RNA5SP18,55.37
